79       Krunch, Palm Harbor
179      Children of the Swamp, Ft. Lauderdale
233      The Pink Team, Rockledge
801      Horse Power, Merritt Island
1065     Moose, Osceola
1369     Minotaur, Tampa
1523     M.A.R.S., Jupiter
1557     12 Volt Bolt, Mt. Dora
1902     4H Exploding Bacon, Orlando
2152     S*M*A*S*H , Daytona Beach 
2383     Ninjineers, Plantation
2797     Knight & Nerdy, Clermont
3242     IllumiCats, Ocala
3556     Get Smart, Lake City
3617     Jungle Robotics, Sarasota
4065     Nerds of Prey, Minneola
4471     Spartrons, Hollywood
4769     Nerdvana , St. Petersburg
5145     Wolfbotics, Gainesville
5276     Edgar Allan Ohms, Land Oâ€™ Lakes
5283     Torque, Tampa
5472     Stallions, Delray
5606     Red Hurricanes, Northeast Yucai School, China
5842     Royal Robotics, Tampa Bay
5816     Gra-V Robotics, Orlando
